"Case Number";"Season";"Year";"Type";"Country";"Area";"Sex";"Fatal (Y/N)";"Species";"original order"
"1981.09.27";"Fall";"1981";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3293
"1981.09.28";"Fall";"1981";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3294
"1981.10.01";"Fall";"1981";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3295
"1981.10.16";"Fall";"1981";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3296
"1981.10.19.a";"Fall";"1981";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3298
"1981.11.09";"Fall";"1981";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3299
"1981.12.13.a";"Winter";"1981";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";3302
"1981.12.19";"Winter";"1981";"Unprovoked";"USA";"California";"M";"Y";"White Shark";3304
"1982.02.07..b";"Winter";"1982";"Unprovoked";"USA";"Florida";"M";"Y";"Unknown";3309
"1982.02.07.a";"Winter";"1982";"Unprovoked";"USA";"California";"M";"N";"White Shark";3310
"1982.02.13";"Winter";"1982";"Unprovoked";"USA";"Florida";"F";"Y";"Unknown";3311
"1982.02.14.a";"Winter";"1982";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";3312
"1982.02.14.b";"Winter";"1982";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";3313
"1982.02.27";"Winter";"1982";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3315
"1982.03.10";"Spring";"1982";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3319
"1982.06.13";"Summer";"1982";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3321
"1982.06.25";"Summer";"1982";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3322
"1982.06.26.b";"Summer";"1982";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3324
"1982.07.01";"Summer";"1982";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3327
"1982.07.19";"Summer";"1982";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3329
"1982.07.24.a";"Summer";"1982";"Unprovoked";"USA";"California";"M";"N";"White Shark";3330
"1982.09.19";"Fall";"1982";"Unprovoked";"USA";"California";"M";"N";"White Shark";3338
"1982.09.25";"Fall";"1982";"Unprovoked";"USA";"California";"M";"N";"White Shark";3339
"1982.09.27";"Fall";"1982";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3340
"1982.10.13";"Fall";"1982";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3343
"1982.11.00";"Fall";"1982";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3344
"1983.01.24";"Winter";"1983";"Provoked";"USA";"South Carolina";"M";"N";"Unknown";3351
"1983.03.10";"Spring";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3354
"1983.04.02.b";"Spring";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3358
"1983.05.21";"Spring";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3361
"1983.05.24";"Spring";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3362
"1983.05.31";"Spring";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3363
"1983.06.20";"Summer";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3367
"1983.06.29";"Summer";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3369
"1983.07.05";"Summer";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3370
"1983.07.12.b";"Summer";"1983";"Unprovoked";"USA";"Florida";"F";"N";"Hammerhead Shark";3372
"1983.08.13.a";"Summer";"1983";"Unprovoked";"USA";"Florida";"F";"N";"Bull Shark";3378
"1983.08.13.b";"Summer";"1983";"Provoked";"USA";"Florida";"M";"N";"Nurse Shark";3379
"1983.08.15";"Summer";"1983";"Unprovoked";"USA";"Virginia";"F";"N";"Sand Tiger Shark";3380
"1983.08.20.b";"Summer";"1983";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";3382
"1983.09.04";"Fall";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3383
"1983.10.13";"Fall";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3384
"1983.10.17.a";"Fall";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3385
"1983.11.10.R";"Fall";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Tiger Shark";3387
"1983.12.25";"Winter";"1983";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3393
"1984.06.03.b";"Summer";"1984";"Unprovoked";"USA";"Hawaii";"F";"N";"Hammerhead Shark";3409
"1984.07.01";"Summer";"1984";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3412
"1984.07.24.a";"Summer";"1984";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";3414
"1984.07.24.b";"Summer";"1984";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";3415
"1984.09.15";"Fall";"1984";"Unprovoked";"USA";"California";"M";"Y";"White Shark";3419
"1984.09.17";"Fall";"1984";"Unprovoked";"USA";"California";"M";"N";"Blue Shark";3420
"1984.09.22.a";"Fall";"1984";"Unprovoked";"USA";"Florida";"M";"N";"Hammerhead Shark";3422
"1984.09.22.b";"Fall";"1984";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3423
"1984.09.23";"Fall";"1984";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3424
"1984.09.30.a";"Fall";"1984";"Unprovoked";"USA";"California";"M";"N";"White Shark";3425
"1984.10.14.a";"Fall";"1984";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";3427
"1984.10.21";"Fall";"1984";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3429
"1984.11.04";"Fall";"1984";"Provoked";"USA";"Florida";"M";"N";"Unknown";3431
"1984.11.11";"Fall";"1984";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3432
"1985.02.03";"Winter";"1985";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3444
"1985.02.18";"Winter";"1985";"Unprovoked";"USA";"California";"M";"N";"White Shark";3445
"1985.03.16";"Spring";"1985";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3447
"1985.05.26";"Spring";"1985";"Unprovoked";"USA";"California";"M";"N";"Not Shark";3449
"1985.07.19";"Summer";"1985";"Unprovoked";"USA";"South Carolina";"F";"N";"Tiger Shark";3451
"1985.07.25.a";"Summer";"1985";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3453
"1985.07.25.b";"Summer";"1985";"Unprovoked";"USA";"Florida";"F";"N";"Hammerhead Shark";3454
"1985.08.22";"Summer";"1985";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3457
"1985.09.08.a";"Fall";"1985";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3459
"1985.09.28";"Fall";"1985";"Unprovoked";"USA";"California";"M";"N";"White Shark";3461
"1985.10.05";"Fall";"1985";"Provoked";"USA";"Alabama";"M";"N";"Unknown";3462
"1985.10.12";"Fall";"1985";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3463
"1985.10.18";"Fall";"1985";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3464
"1985.10.22";"Fall";"1985";"Unprovoked";"USA";"California";"M";"N";"Unknown";3465
"1985.11.03";"Fall";"1985";"Provoked";"USA";"California";"M";"N";"Unknown";3467
"1985.12.10";"Winter";"1985";"Unprovoked";"USA";"North Carolina";"M";"N";"Sand Tiger Shark";3470
"1986.01.12";"Winter";"1986";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";3473
"1986.04.20";"Spring";"1986";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";3483
"1986.07.09";"Summer";"1986";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3487
"1986.10.00";"Fall";"1986";"Unprovoked";"USA";"Florida";"M";"N";"Bull Shark";3496
"1986.10.03";"Fall";"1986";"Unprovoked";"USA";"Florida";"F";"N";"Lemon Shark";3499
"1986.11.04";"Fall";"1986";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3501
"1986.11.19";"Fall";"1986";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3502
"1986.11.30";"Fall";"1986";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3503
"1986.12.06.a";"Winter";"1986";"Unprovoked";"USA";"California";"M";"N";"White Shark";3506
"1986.12.11";"Winter";"1986";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";3508
"1987.02.28";"Winter";"1987";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";3516
"1987.04.15";"Spring";"1987";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";3520
"1987.04.18";"Spring";"1987";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";3521
"1987.05.08";"Spring";"1987";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3524
"1987.05.25";"Spring";"1987";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3525
"1987.06.13";"Summer";"1987";"Provoked";"USA";"Florida";"M";"N";"Blacktip Shark";3526
"1987.07.12.a";"Summer";"1987";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";3530
"1987.07.12.b";"Summer";"1987";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";3531
"1987.07.21";"Summer";"1987";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3532
"1987.08.15";"Summer";"1987";"Unprovoked";"USA";"California";"M";"N";"White Shark";3533
"1987.08.20";"Summer";"1987";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3534
"1987.10.26";"Fall";"1987";"Unprovoked";"USA";"California";"M";"N";"Unknown";3540
"1987.11.21";"Fall";"1987";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3542
"1987.12.17";"Winter";"1987";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";3544
"1988.01.14";"Winter";"1988";"Provoked";"USA";"Louisiana";"M";"N";"Shortfin Mako Shark";3549
"1988.03.25";"Spring";"1988";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3559
"1988.03.31";"Spring";"1988";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3560
"1988.04.14.a";"Spring";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3562
"1988.04.14.b";"Spring";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3563
"1988.04.15a";"Spring";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3565
"1988.04.24";"Spring";"1988";"Unprovoked";"USA";"California";"M";"N";"White Shark";3566
"1988.05.04";"Spring";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3568
"1988.05.10";"Spring";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3569
"1988.06.01";"Summer";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3571
"1988.06.05";"Summer";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3572
"1988.06.09";"Summer";"1988";"Unprovoked";"USA";"South Carolina";"M";"N";"Sand Tiger Shark";3573
"1988.06.16";"Summer";"1988";"Unprovoked";"USA";"North Carolina";"M";"N";"Sand Tiger Shark";3574
"1988.07.04.b";"Summer";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3578
"1988.07.11";"Summer";"1988";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3579
"1988.08.11";"Summer";"1988";"Unprovoked";"USA";"California";"M";"N";"White Shark";3583
"1988.08.22.b";"Summer";"1988";"Provoked";"USA";"Louisiana";"M";"N";"Tiger Shark";3586
"1988.09.13.a";"Fall";"1988";"Unprovoked";"USA";"Florida";"M";"Y";"Bull Shark";3587
"1988.09.13.b";"Fall";"1988";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3588
"1988.09.28";"Fall";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3589
"1988.10.00";"Fall";"1988";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3590
"1988.10.10";"Fall";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3592
"1988.10.11";"Fall";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3593
"1988.10.14";"Fall";"1988";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3594
"1988.10.23";"Fall";"1988";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";3596
"1989.01.08";"Winter";"1989";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";3604
"1989.01.20.b";"Winter";"1989";"Unprovoked";"USA";"Hawaii";"M";"N";"Hammerhead Shark";3606
"1989.01.26.a";"Winter";"1989";"Unprovoked";"USA";"California";"F";"Y";"White Shark";3607
"1989.04.00";"Spring";"1989";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3614
"1989.04.03";"Spring";"1989";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3615
"1989.04.12";"Spring";"1989";"Unprovoked";"USA";"Washington";"M";"N";"White Shark";3617
"1989.04.23";"Spring";"1989";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3618
"1989.06.17";"Summer";"1989";"Unprovoked";"USA";"Louisiana";"M";"N";"Sand Tiger Shark";3623
"1989.06.29";"Summer";"1989";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3624
"1989.07.07";"Summer";"1989";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";3625
"1989.07.14";"Summer";"1989";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3626
"1989.08.22.b";"Summer";"1989";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3634
"1989.09.03";"Fall";"1989";"Provoked";"USA";"California";"M";"N";"Blue Shark";3636
"1989.09.09.a";"Fall";"1989";"Unprovoked";"USA";"North Carolina";"M";"N";"Sand Tiger Shark";3637
"1989.09.09.b";"Fall";"1989";"Unprovoked";"USA";"California";"M";"N";"White Shark";3638
"1989.09.13";"Fall";"1989";"Provoked";"USA";"Florida";"M";"N";"Unknown";3640
"1989.10.11";"Fall";"1989";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";3644
"1989.12.19";"Winter";"1989";"Provoked";"USA";"Hawaii";"M";"N";"Unknown";3654
"1990.01.12";"Winter";"1990";"Unprovoked";"USA";"California";"M";"N";"White Shark";3656
"1990.02.05";"Winter";"1990";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3657
"1990.02.17";"Winter";"1990";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";3658
"1990.04.01";"Spring";"1990";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3661
"1990.07.08";"Summer";"1990";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3673
"1990.07.22";"Summer";"1990";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";3674
"1990.08.19.a";"Summer";"1990";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";3675
"1990.08.19.b";"Summer";"1990";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";3676
"1990.08.28";"Summer";"1990";"Unprovoked";"USA";"California";"M";"N";"White Shark";3677
"1990.09.05";"Fall";"1990";"Boating";"USA";"California";"M";"N";"White Shark";3679
"1990.09.08";"Fall";"1990";"Unprovoked";"USA";"California";"M";"N";"White Shark";3680
"1990.10.12";"Fall";"1990";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3682
"1990.10.15";"Fall";"1990";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";3683
"1990.10.20";"Fall";"1990";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";3684
"1990.10.30.a";"Fall";"1990";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3687
"1990.10.30.b";"Fall";"1990";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3688
"1990.11.01";"Fall";"1990";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3689
"1990.11.03";"Fall";"1990";"Unprovoked";"USA";"California";"F";"N";"White Shark";3690
"1991.02.24";"Winter";"1991";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";3697
"1991.04.03";"Spring";"1991";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3699
"1991.04.16.a";"Spring";"1991";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3700
"1991.05.26";"Spring";"1991";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3704
"1991.06.07.b";"Summer";"1991";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3706
"1991.06.26";"Summer";"1991";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3707
"1991.07.00";"Summer";"1991";"Unprovoked";"USA";"Virginia";"M";"N";"Not Shark";3710
"1991.07.01.a";"Summer";"1991";"Unprovoked";"USA";"California";"M";"N";"White Shark";3711
"1991.07.07";"Summer";"1991";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3713
"1991.07.18";"Summer";"1991";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";3714
"1991.07.27";"Summer";"1991";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3715
"1991.08.09";"Summer";"1991";"Provoked";"USA";"Florida";"M";"N";"Lemon Shark";3717
"1991.08.12";"Summer";"1991";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3718
"1991.08.26";"Summer";"1991";"Unprovoked";"USA";"South Carolina";"M";"N";"Sand Tiger Shark";3719
"1991.10.05";"Fall";"1991";"Unprovoked";"USA";"California";"M";"N";"White Shark";3723
"1991.10.12";"Fall";"1991";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3724
"1991.11.14";"Fall";"1991";"Provoked";"USA";"Florida";"M";"N";"Unknown";3726
"1991.11.19";"Fall";"1991";"Unprovoked";"USA";"Hawaii";"M";"Y";"Tiger Shark";3727
"1991.11.26.a";"Fall";"1991";"Unprovoked";"USA";"Hawaii";"F";"N";"Tiger Shark";3728
"1991.11.26.b";"Fall";"1991";"Unprovoked";"USA";"Hawaii";"F";"Y";"Tiger Shark";3729
"1991.12.04";"Winter";"1991";"Unprovoked";"USA";"California";"M";"N";"White Shark";3730
"1992.02.19";"Winter";"1992";"Unprovoked";"USA";"Hawaii";"M";"Y";"Tiger Shark";3741
"1992.03.08.a";"Spring";"1992";"Unprovoked";"USA";"Oregon";"M";"N";"Unknown";3742
"1992.03.28";"Spring";"1992";"Unprovoked";"USA";"Hawaii";"F";"N";"Tiger Shark";3746
"1992.07.21";"Summer";"1992";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3759
"1992.08.17";"Summer";"1992";"Provoked";"USA";"Florida";"M";"N";"Nurse Shark";3762
"1992.08.18";"Summer";"1992";"Unprovoked";"USA";"California";"M";"N";"White Shark";3763
"1992.09.00";"Fall";"1992";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3767
"1992.09.11";"Fall";"1992";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3769
"1992.09.13";"Fall";"1992";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";3770
"1992.10.22";"Fall";"1992";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";3775
"1992.10.29";"Fall";"1992";"Unprovoked";"USA";"California";"M";"N";"White Shark";3776
"1992.11.05.a";"Fall";"1992";"Unprovoked";"USA";"Hawaii";"M";"Y";"Tiger Shark";3777
"1992.11.05.b";"Fall";"1992";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3778
"1992.11.11";"Fall";"1992";"Unprovoked";"USA";"California";"M";"N";"Unknown";3779
"1992.11.14";"Fall";"1992";"Boating";"USA";"California";"M";"N";"White Shark";3781
"1992.11.23";"Fall";"1992";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3782
"1992.11.25.a";"Fall";"1992";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";3783
"1992.11.29";"Fall";"1992";"Unprovoked";"USA";"California";"M";"N";"Shortfin Mako Shark";3784
"1992.12.23";"Winter";"1992";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";3785
"1992.12.28";"Winter";"1992";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";3786
"1993.01.02";"Winter";"1993";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";3791
"1993.03.12";"Spring";"1993";"Unprovoked";"USA";"California";"M";"N";"White Shark";3799
"1993.03.14";"Spring";"1993";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";3800
"1993.03.22";"Spring";"1993";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3802
"1993.06.00";"Summer";"1993";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";3807
"1993.06.10";"Summer";"1993";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3811
"1993.07.07";"Summer";"1993";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3816
"1993.08.12";"Summer";"1993";"Unprovoked";"USA";"California";"M";"N";"White Shark";3820
"1993.08.15.a";"Summer";"1993";"Unprovoked";"USA";"North Carolina";"F";"N";"Bull Shark";3822
"1993.08.19";"Summer";"1993";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3824
"1993.09.09";"Fall";"1993";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3828
"1993.09.14";"Fall";"1993";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3829
"1993.10.10";"Fall";"1993";"Boating";"USA";"California";"F";"N";"White Shark";3835
"1993.10.26";"Fall";"1993";"Unprovoked";"USA";"Florida";"F";"N";"Bull Shark";3836
"1993.11.12";"Fall";"1993";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";3839
"1993.11.28";"Fall";"1993";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3841
"1993.12.00";"Winter";"1993";"Unprovoked";"USA";"Hawaii";"M";"Y";"Unknown";3842
"1994.01.31.a";"Winter";"1994";"Unprovoked";"USA";"Hawaii";"M";"Y";"Tiger Shark";3849
"1994.02.13";"Winter";"1994";"Provoked";"USA";"Hawaii";"M";"N";"Unknown";3853
"1994.02.19";"Winter";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3854
"1994.03.07";"Spring";"1994";"Provoked";"USA";"California";"M";"N";"Lemon Shark";3857
"1994.04.03";"Spring";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3861
"1994.05.15";"Spring";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3865
"1994.05.23";"Spring";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3866
"1994.05.24";"Spring";"1994";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3867
"1994.05.28";"Spring";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3868
"1994.05.31.a";"Spring";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";3869
"1994.05.31.b";"Spring";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3870
"1994.07.08.a";"Summer";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3872
"1994.09.05";"Fall";"1994";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";3880
"1994.09.11.R";"Fall";"1994";"Sea Disaster";"USA";"Florida";"M";"Y";"Unknown";3881
"1994.09.21";"Fall";"1994";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";3882
"1994.09.26";"Fall";"1994";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";3883
"1994.10.05";"Fall";"1994";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3884
"1994.10.08";"Fall";"1994";"Provoked";"USA";"Florida";"F";"N";"Unknown";3885
"1994.11.13";"Fall";"1994";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";3889
"1994.12.09.a";"Winter";"1994";"Unprovoked";"USA";"California";"M";"Y";"White Shark";3892
"1995.04.13";"Spring";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3912
"1995.05.26";"Spring";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3917
"1995.06.14";"Summer";"1995";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";3921
"1995.06.16";"Summer";"1995";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3922
"1995.06.17.a";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3923
"1995.06.17.b";"Summer";"1995";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3924
"1995.06.23";"Summer";"1995";"Unprovoked";"USA";"Georgia";"M";"N";"Sand Tiger Shark";3925
"1995.06.24";"Summer";"1995";"Unprovoked";"USA";"California";"F";"N";"White Shark";3926
"1995.06.30";"Summer";"1995";"Unprovoked";"USA";"California";"M";"N";"White Shark";3927
"1995.07.00";"Summer";"1995";"Provoked";"USA";"South Carolina";"M";"N";"Unknown";3928
"1995.07.03";"Summer";"1995";"Provoked";"USA";"Mississippi";"F";"N";"Blacktip Shark";3929
"1995.07.06";"Summer";"1995";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";3930
"1995.07.23";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3933
"1995.07.24";"Summer";"1995";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";3934
"1995.07.28.a";"Summer";"1995";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3935
"1995.07.28.b";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3936
"1995.07.28.c";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3937
"1995.07.28.d";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3938
"1995.07.28.e";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3939
"1995.08.07";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3942
"1995.08.10.a";"Summer";"1995";"Unprovoked";"USA";"South Carolina";"F";"N";"Blacktip Shark";3943
"1995.08.10.b";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3944
"1995.08.15";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3946
"1995.08.22.a";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3949
"1995.08.22.c";"Summer";"1995";"Unprovoked";"USA";"North Carolina";"M";"N";"Sand Tiger Shark";3950
"1995.08.25";"Summer";"1995";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";3951
"1995.08.26.a";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3952
"1995.08.26/b";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3953
"1995.08.31.a";"Summer";"1995";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";3955
"1995.08.31.b";"Summer";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3956
"1995.09.03.b";"Fall";"1995";"Unprovoked";"USA";"California";"M";"N";"White Shark";3958
"1995.09.13";"Fall";"1995";"Unprovoked";"USA";"Florida";"M";"Y";"Bull Shark";3960
"1995.09.17";"Fall";"1995";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";3962
"1995.09.19.";"Fall";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3963
"1995.09.28";"Fall";"1995";"Unprovoked";"USA";"California";"M";"N";"White Shark";3964
"1995.09.30.a";"Fall";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3965
"1995.09.30.b";"Fall";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3966
"1995.10.01";"Fall";"1995";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";3967
